Id,org,tld,ccs,mail_type,images,urls,salutations,designation,chars_in_subject,chars_in_body,label,day,month,hour
2913,amazon,in,0,multipart/alternative,9,151,1,0,48,73653,3,Wed,Nov,0.08333333333333333
2914,redwolf,in,0,multipart/alternative,2,19,0,0,29,4571,3,Wed,May,14.716666666666667
2915,linkedin,com,0,multipart/alternative,10,58,0,0,42,40906,1,Mon,Mar,8.25
2916,reply,ebay.in,0,multipart/alternative,20,75,0,0,81,38714,3,Wed,Nov,11.7
2917,linkedin,com,0,multipart/alternative,9,41,1,0,63,41199,1,Wed,Apr,1.0
2918,iiitd,ac.in,0,multipart/alternative,0,3,0,0,45,404,2,Wed,Jun,10.883333333333333
2919,gmail,com,0,multipart/alternative,0,11,1,0,50,2679,0,Fri,Oct,13.933333333333334
2920,rs-components,co.in,0,multipart/alternative,23,131,0,0,52,43330,3,Thu,May,10.95
2921,datacamp,com,0,multipart/alternative,8,35,0,0,15,40722,3,Wed,Aug,14.566666666666666
2922,hackerrankmail,com,0,multipart/alternative,1,11,0,0,52,35591,0,Fri,Aug,21.5
2923,amazon,in,0,multipart/alternative,17,110,0,0,34,46327,3,Mon,Nov,12.566666666666666
2924,e-mail,gopro.com,0,multipart/alternative,0,37,1,0,36,31105,3,Wed,Sep,19.15
2925,twitter,com,0,multipart/alternative,31,216,0,0,119,92940,1,Thu,Dec,11.75
2926,na,na,0,text/plain,0,0,0,0,57,516,0,,Dec,15.466666666666667
2927,google,com,0,text/html,6,28,0,0,40,9030,0,Tue,Feb,4.266666666666667
2928,iiitd,ac.in,1,multipart/alternative,0,3,1,0,19,1399,2,Thu,Aug,21.583333333333332
2929,linkedin,com,0,multipart/alternative,12,75,0,0,42,56461,1,Mon,Jul,8.383333333333333
2930,sampark,gov.in,0,text/html,45,95,0,0,39,29775,0,Tue,Oct,21.683333333333334
2931,na,na,0,multipart/alternative,2,37,0,0,41,13358,0,Sat,May,2.533333333333333
2932,dropboxmail,com,1,multipart/alternative,4,17,0,0,50,7668,3,Fri,Nov,15.55
2933,google,com,0,text/html,8,36,0,0,35,11216,0,Sat,Jun,4.5
2934,sharelatex,com,0,multipart/alternative,2,11,1,0,40,4798,0,Thu,Mar,21.383333333333333
2935,nrsc,gov.in,0,multipart/alternative,0,4,1,0,32,1210,0,Fri,Apr,10.166666666666666
2936,getpostman,com,0,multipart/alternative,8,85,0,0,27,51163,3,Wed,Oct,15.866666666666667
2937,nrsc,gov.in,0,multipart/alternative,0,4,1,0,32,1210,0,Fri,Apr,15.633333333333333
2938,na,na,0,text/plain,0,0,0,0,57,561,0,,Apr,21.733333333333334
2939,linkedin,com,0,multipart/alternative,8,41,0,0,53,34742,1,Mon,Feb,7.766666666666667
2940,iiitd,ac.in,0,multipart/alternative,0,0,1,0,41,1744,2,Mon,Jul,12.266666666666667
2941,sbi,co.in,0,text/plain,0,0,1,0,57,739,0,Fri,Sep,20.1
2942,springboard,com,0,multipart/alternative,0,16,1,0,36,9200,0,Fri,Jul,9.083333333333334
2943,usebackpack,com,0,multipart/alternative,4,19,0,0,39,27330,0,Thu,Nov,7.533333333333333
2944,iiitd,ac.in,0,multipart/alternative,0,0,1,0,37,1486,2,Thu,Mar,15.566666666666666
2945,google,com,1,multipart/alternative,2,8,0,0,38,4928,0,Wed,Sep,15.816666666666666
2946,nrsc,gov.in,0,multipart/alternative,0,4,1,0,32,1210,0,Fri,Apr,4.633333333333333
2947,amazon,in,0,multipart/alternative,23,129,0,0,50,58738,3,Mon,Jun,9.016666666666667
2948,crazydomains,in,0,multipart/alternative,6,21,0,0,23,32872,0,Sat,Apr,19.316666666666666
2949,iiitd,ac.in,0,multipart/alternative,0,0,1,0,9,1168,2,Thu,Jun,21.283333333333335
2950,udacity,com,0,multipart/alternative,22,78,1,1,64,112282,3,Fri,Jul,15.116666666666667
2951,iiitd,ac.in,6,multipart/mixed,0,0,1,0,63,248117,2,Fri,Aug,15.2
2952,iiitd,ac.in,1,multipart/alternative,0,0,1,0,36,19938,2,Tue,Dec,9.416666666666666
2953,twitter,com,0,multipart/alternative,27,170,0,0,55,79970,1,Sat,Jul,8.983333333333333
2954,linkedin,com,0,multipart/alternative,11,28,0,0,50,25641,1,Mon,Sep,9.133333333333333
2955,amazon,in,0,multipart/alternative,32,186,1,0,31,90870,3,Tue,Jan,6.633333333333333
2956,flipkartletters,com,0,text/html,25,63,1,0,64,44237,3,Tue,Aug,4.4
2957,yahoo-inc,com,0,multipart/alternative,0,1,0,0,37,1618,0,,Aug,21.2
2958,usebackpack,com,0,multipart/alternative,4,19,0,0,36,26885,0,Sun,Mar,15.466666666666667
2959,rit,edu,0,multipart/alternative,0,30,1,0,36,21457,0,Tue,Sep,12.516666666666667
2960,brilliant,org,0,multipart/alternative,5,27,0,0,55,43097,3,Tue,Jul,16.683333333333334
2961,usebackpack,com,0,text/html,4,16,0,0,38,25097,0,Sun,Jul,6.816666666666666
2962,edx,org,0,multipart/alternative,24,83,0,0,20,88209,3,Tue,Jun,10.65
2963,nrsc,gov.in,0,multipart/alternative,0,4,1,0,32,1210,0,Fri,Apr,15.066666666666666
2964,e-mail,gopro.com,0,multipart/alternative,0,37,1,0,36,31105,3,Wed,Sep,20.8
2965,flipkartletters,com,0,text/html,36,85,0,0,92,59722,3,Wed,May,2.0833333333333335
2966,linkedin,com,0,multipart/alternative,28,108,0,1,52,91369,1,Wed,Sep,4.066666666666666
2967,codeschool,com,0,multipart/alternative,16,62,0,0,55,46051,3,Thu,Jul,19.333333333333332
2968,twitter,com,0,multipart/alternative,36,155,0,1,79,77509,1,Tue,Jul,17.1
2969,state,gov,0,multipart/mixed,0,8,0,0,45,3858137,0,Mon,Feb,11.883333333333333
2970,amazon,in,0,multipart/alternative,30,250,1,0,11,113899,3,Mon,Nov,0.6833333333333333
2971,plus,google.com,0,multipart/alternative,14,40,0,0,39,14245,1,Sat,Mar,5.916666666666667
2972,send,grammarly.com,0,multipart/alternative,32,128,0,0,36,103274,3,Mon,Mar,15.783333333333333
2973,thomascook,in,0,multipart/alternative,7,19,0,0,64,6148,3,Sat,Apr,11.083333333333334
2974,email,classmates.com,0,text/html,11,89,0,0,53,77393,3,Tue,Jan,5.666666666666667
2975,iiitd,ac.in,0,multipart/alternative,0,0,1,0,21,359,2,Thu,Mar,18.033333333333335
2976,email,nvidia.com,0,text/html,11,40,1,0,34,55805,3,Tue,Apr,21.1
2977,researchgate,net,0,multipart/alternative,12,60,0,1,63,33829,1,Fri,Feb,8.033333333333333
2978,github,com,2,multipart/alternative,0,10,0,0,34,2686,2,Tue,Jun,14.05
2979,duolingo,com,0,multipart/alternative,30,67,0,0,40,107866,0,Fri,Mar,8.3
2980,inoxmovies,com,0,multipart/alternative,5,30,0,0,57,6842,3,Fri,Aug,16.583333333333332
2981,youtube,com,0,multipart/alternative,28,130,0,0,91,89445,1,Wed,Apr,7.6
2982,indiatimes,com,0,text/html,0,35,0,0,58,6460,3,Wed,Oct,13.466666666666667
2983,topcoder,com,0,multipart/alternative,21,81,1,0,65,116787,3,Sat,Sep,4.033333333333333
2984,magento,com,0,multipart/alternative,5,19,1,0,34,18453,3,Wed,Sep,16.433333333333334
2985,academia-mail,com,0,multipart/alternative,1,13,1,0,74,38943,0,Wed,Apr,12.816666666666666
2986,piazzacareers,com,0,multipart/related,0,0,0,0,74,4155,0,Sun,Feb,7.566666666666666
2987,repositoryhosting,com,0,multipart/alternative,0,7,1,0,30,82509,0,Sun,Nov,5.2
2988,iiitd,ac.in,3,multipart/related,0,0,0,0,78,682897,2,Thu,Feb,15.766666666666667
2989,twitter,com,0,multipart/alternative,25,199,0,0,107,95510,1,Tue,Mar,9.983333333333333
2990,irctc,co.in,0,multipart/alternative,5,23,0,0,57,7925,0,Mon,Sep,20.05
2991,usebackpack,com,0,multipart/alternative,4,19,0,0,36,26904,0,Thu,Feb,4.85
2992,google,com,0,text/html,4,20,0,0,32,6661,0,Fri,Dec,23.6
2993,quora,com,0,multipart/alternative,16,105,1,1,125,103801,1,Tue,Jul,10.733333333333333
2994,autodesk,com,0,text/html,6,12,0,0,41,8251,0,,Jul,22.583333333333332
2995,github,com,1,multipart/alternative,2,12,0,0,84,2322,2,Thu,Mar,21.483333333333334
2996,iiitd,ac.in,1,multipart/alternative,0,11,0,0,28,2059,2,Tue,Sep,19.05
2997,innerchef,com,0,multipart/alternative,8,48,0,0,61,50910,3,Thu,Jul,6.266666666666667
2998,twitter,com,0,multipart/alternative,7,52,0,0,57,35100,1,Fri,Mar,8.716666666666667
2999,twitter,com,0,multipart/alternative,10,121,0,0,77,68473,1,Tue,May,9.616666666666667
3000,iiitd,ac.in,3,multipart/alternative,0,1,0,0,31,7823,2,Sat,Jul,17.15
3001,iiitd,ac.in,0,multipart/related,0,0,0,0,83,636796,2,Thu,Sep,7.383333333333334
3002,iiitd,ac.in,5,multipart/alternative,0,0,1,0,26,3139,2,Thu,Sep,14.5
3003,newsletter,foodpanda.in,0,multipart/alternative,11,34,0,0,39,44807,0,Wed,Jun,19.416666666666668
3004,centralesupelec,fr,0,text/html,1,4,0,0,260,11253,2,Tue,Dec,7.883333333333333
3005,amazon,com,0,multipart/related,0,0,0,0,47,13093,0,Wed,Feb,18.516666666666666
3006,topcoder,com,0,multipart/alternative,7,39,1,0,164,37462,0,Mon,Nov,16.883333333333333
3007,na,na,0,text/plain,0,0,1,0,3,420,0,,Nov,12.5
3008,linkedin,com,0,multipart/alternative,3,24,0,0,29,21427,1,Sat,May,6.65
3009,amazon,in,0,multipart/alternative,27,137,0,0,76,80047,0,Wed,Feb,15.85
3010,centralesupelec,fr,2,multipart/alternative,0,0,0,0,246,19110,2,Mon,Mar,10.85
3011,m,mail.coursera.org,0,multipart/alternative,21,127,0,0,103,83594,0,Fri,Aug,8.7
3012,imdb,com,0,multipart/alternative,23,118,0,0,72,76078,3,Sat,Jul,4.516666666666667
3013,email,apple.com,0,multipart/alternative,9,35,0,0,24,28454,0,Wed,Sep,6.883333333333333
3014,youtube,com,0,multipart/alternative,28,120,0,0,57,79006,1,Tue,Jul,12.233333333333333
3015,indiatimes,com,0,text/html,11,162,0,0,84,91402,3,Fri,Dec,7.616666666666667
3016,youtube,com,0,multipart/alternative,19,70,1,0,58,61116,1,Thu,Nov,0.8333333333333334
3017,usebackpack,com,0,text/html,4,14,0,0,43,24718,0,Sun,Aug,15.0
3018,iiitd,ac.in,0,multipart/alternative,0,0,0,0,42,14,2,Wed,Oct,10.116666666666667
3019,mailer,netflix.com,0,multipart/alternative,23,99,0,0,16,92800,3,Thu,Nov,6.516666666666667
3020,iiitd,ac.in,3,multipart/alternative,0,1,1,0,19,6515,2,Tue,Dec,13.566666666666666
3021,iiitd,ac.in,0,multipart/alternative,0,35,1,0,37,17394,2,Thu,Nov,17.433333333333334
3022,nrsc,gov.in,0,multipart/alternative,0,4,1,0,32,1210,0,Fri,Apr,4.6
3023,hackerrankmail,com,0,multipart/alternative,4,27,0,0,73,30066,0,Sat,Apr,7.633333333333333
3024,amazon,com,0,text/plain,0,4,0,0,31,1271,0,Tue,Apr,16.1
3025,kaggle,intercom-mail.com,0,multipart/alternative,2,12,1,0,51,16649,0,Tue,Nov,8.816666666666666
3026,iheartdogs-email,com,0,multipart/alternative,33,200,1,1,99,186996,3,Tue,Dec,11.933333333333334
3027,iiitd,ac.in,2,multipart/alternative,0,2,1,1,57,30594,2,Mon,Mar,14.766666666666667
3028,usebackpack,com,0,multipart/alternative,4,19,1,0,37,27298,0,Mon,Dec,7.633333333333333
3029,quora,com,0,multipart/alternative,1,122,1,0,57,91638,1,Tue,Jun,14.583333333333334
3030,virtuosos,in,0,multipart/alternative,1,4,1,0,60,4258,0,Fri,Jul,15.1
3031,linkedin,com,0,multipart/alternative,3,24,0,0,45,19536,1,Wed,Aug,11.616666666666667
3032,twitter,com,0,multipart/alternative,7,52,0,0,64,41015,1,Thu,Jul,9.666666666666666
3033,newsletter,foodpanda.in,0,multipart/alternative,11,34,0,0,39,45425,0,Sun,Jun,15.033333333333333
3034,twitter,com,0,multipart/alternative,17,73,0,0,41,42555,1,Mon,Jul,18.583333333333332
3035,flipkartletters,com,0,text/html,17,47,0,0,41,37902,3,Tue,Jul,1.3166666666666667
3036,email,classmates.com,0,text/html,5,104,0,0,61,67548,3,Tue,May,9.766666666666667
3037,angel,co,0,text/html,4,23,0,0,29,20415,0,Tue,Nov,16.816666666666666
3038,coursera,org,0,multipart/alternative,17,92,1,0,45,60319,0,Mon,Jul,19.483333333333334
3039,google,com,0,multipart/alternative,2,8,0,0,17,4910,0,Mon,Dec,9.3
3040,academia-mail,com,0,multipart/alternative,2,24,1,0,103,46322,0,Wed,Jun,3.783333333333333
3041,angel,co,0,text/html,3,43,1,1,44,42166,3,Fri,May,16.266666666666666
3042,na,na,0,text/html,0,1,1,0,44,1432,0,,May,12.383333333333333
3043,iiitd,ac.in,1,multipart/alternative,0,0,1,0,24,452,2,Tue,Jan,18.05
3044,iiitd,ac.in,2,multipart/alternative,0,2,1,0,39,1318,2,Tue,Nov,16.0
3045,usebackpack,com,0,text/html,4,14,1,0,48,24829,0,Thu,Jan,20.366666666666667
3046,udacity,com,0,multipart/alternative,7,45,1,1,65,68245,3,Sat,Jun,15.9
3047,usebackpack,com,0,multipart/alternative,4,19,0,0,38,27143,0,Thu,Nov,14.016666666666667
3048,topcoder,com,0,multipart/alternative,1,17,1,0,111,31816,0,Fri,May,13.116666666666667
3049,flipkartletters,com,0,multipart/alternative,35,94,1,0,88,59873,3,Wed,Oct,1.1666666666666667
3050,iiitd,ac.in,10,multipart/alternative,2,2,1,0,78,10190,2,Thu,Apr,10.366666666666667
3051,quora,com,0,multipart/alternative,13,111,0,0,56,106736,1,Sun,Oct,6.65
3052,ni,com,0,multipart/alternative,0,18,1,1,37,8287,0,,Oct,2.5166666666666666
3053,iiitd,ac.in,5,multipart/alternative,0,10,1,0,35,5692,2,Wed,Jul,0.21666666666666667
3054,news,foodpanda.in,0,multipart/alternative,15,50,1,0,64,55262,3,Fri,Jul,0.55
3055,flipkartletters,com,0,text/html,36,95,1,0,96,67167,3,Thu,Oct,16.116666666666667
3056,newsletter,speakingtree.in,0,multipart/alternative,12,64,0,0,26,27114,3,Tue,Apr,8.05
3057,nvidia,com,0,multipart/alternative,5,24,1,0,70,35305,0,Tue,Nov,18.35
3058,google,com,0,text/html,6,28,0,0,36,8966,0,Sun,Apr,3.466666666666667
3059,send,grammarly.com,0,multipart/alternative,27,105,0,0,27,140692,3,Mon,Oct,9.016666666666667
3060,google,com,0,text/html,20,84,0,0,36,26133,0,Sat,Jun,10.916666666666666
3061,usebackpack,com,0,text/html,4,14,0,0,34,24670,0,Sat,Feb,7.183333333333334
3062,nrsc,gov.in,0,multipart/alternative,0,4,1,0,32,1210,0,Fri,Apr,15.266666666666667
3063,google,com,0,text/html,4,20,0,0,38,6608,0,Thu,Jun,5.616666666666667
3064,iiitd,ac.in,3,multipart/alternative,0,1,0,0,49,7809,2,Tue,Feb,9.833333333333334
3065,repositoryhosting,com,0,multipart/alternative,0,7,1,0,48,44383,0,Sat,May,16.533333333333335
3066,m,mail.coursera.org,0,multipart/alternative,27,128,0,1,28,88533,0,Tue,Nov,17.45
3067,iiitd,ac.in,0,multipart/alternative,0,0,1,0,21,2754,2,Fri,Sep,15.45
3068,coursera,org,0,multipart/alternative,26,137,0,0,77,111475,0,Thu,Aug,8.25
3069,google,com,0,text/html,12,52,0,0,36,15690,0,Sun,Apr,0.7666666666666667
3070,amazon,in,0,multipart/alternative,23,137,0,0,46,59636,3,Tue,Jul,7.166666666666667
3071,google,com,0,text/html,2,12,0,0,32,4330,0,Thu,Dec,4.6
3072,iiitd,ac.in,1,multipart/alternative,0,4,0,0,40,3174,2,Mon,Mar,10.233333333333333
3073,iiitd,ac.in,3,multipart/mixed,0,1,1,0,45,2174833,2,Fri,Dec,9.616666666666667
3074,quora,com,0,multipart/alternative,10,104,1,0,104,85026,1,Fri,May,0.06666666666666667
3075,iiitd,ac.in,3,multipart/alternative,0,0,1,0,66,2532,2,Sat,Jul,13.733333333333333
3076,github,com,1,multipart/alternative,2,13,0,0,56,2383,2,Wed,Jan,15.55
3077,usebackpack,com,0,multipart/alternative,4,19,0,0,37,27181,0,Sat,Nov,12.383333333333333
3078,quora,com,0,multipart/alternative,16,110,0,1,47,107035,1,Wed,Oct,12.083333333333334
3079,iiitd,ac.in,4,multipart/mixed,10,15,1,0,71,8560731,2,Sat,Mar,7.0
3080,quora,com,0,multipart/alternative,2,14,0,1,59,10563,0,Wed,Oct,1.2166666666666668
3081,mapbox,com,0,multipart/alternative,4,31,0,0,20,23512,3,Fri,Sep,15.1
3082,google,com,0,text/html,12,52,0,0,36,15614,0,Tue,Feb,5.166666666666667
3083,datacamp,com,0,multipart/alternative,11,80,1,1,26,84067,3,Tue,Oct,17.65
3084,topcoder,com,0,multipart/alternative,7,39,1,0,176,37659,0,Sat,Nov,17.183333333333334
3085,google,com,0,text/plain,0,0,1,0,84,869,0,Mon,May,22.4
3086,iiitd,ac.in,2,multipart/alternative,0,2,1,0,29,13018,2,Tue,Jun,11.916666666666666
3087,amazon,in,0,multipart/alternative,6,54,0,0,96,26439,0,Thu,May,5.466666666666667
3088,usebackpack,com,0,multipart/alternative,4,19,0,0,36,26909,0,Fri,Mar,18.6
3089,usebackpack,com,0,multipart/alternative,4,19,0,0,39,27575,0,Sun,Oct,3.6
3090,iiitd,ac.in,2,multipart/alternative,0,0,1,0,44,13118,2,Tue,Nov,10.333333333333334
3091,iiitd,ac.in,0,multipart/alternative,0,2,1,0,42,9279,2,Sun,Oct,12.433333333333334
3092,iiitd,ac.in,0,multipart/alternative,0,6,1,0,38,3536,2,Thu,Aug,12.533333333333333
3093,iiitd,ac.in,3,multipart/mixed,0,0,0,0,48,34198,2,Fri,Dec,17.033333333333335
3094,doodle,com,0,multipart/alternative,3,12,0,0,52,9911,0,Tue,Aug,14.216666666666667
3095,usebackpack,com,0,multipart/alternative,4,19,0,1,37,28086,0,Tue,Sep,18.366666666666667
3096,topcoder,com,0,multipart/alternative,14,63,0,0,104,117229,3,Sat,Jul,10.05
3097,t,mail.coursera.org,0,multipart/alternative,6,29,1,0,74,31138,0,Thu,Jul,19.7
3098,google,com,0,multipart/alternative,2,12,0,0,33,3247,0,Fri,Jun,7.966666666666667
3099,iiitd,ac.in,0,multipart/mixed,0,0,0,0,48,271000,2,Sun,Oct,12.433333333333334
3100,edx,org,0,multipart/alternative,24,83,0,0,41,88835,3,Tue,Aug,13.316666666666666
3101,linkedin,com,0,multipart/alternative,8,41,0,0,59,34873,1,Mon,Apr,7.65
3102,coursera,org,0,multipart/alternative,4,80,1,1,44,103009,0,Fri,May,11.066666666666666
3103,slack,com,0,multipart/alternative,4,32,0,0,113,23275,0,Mon,Aug,15.383333333333333
3104,codalab,org,0,multipart/alternative,1,9,1,0,28,6817,0,Tue,Jul,17.616666666666667
3105,sharelatex,com,0,multipart/alternative,0,11,0,0,42,23743,0,Fri,Jan,19.833333333333332
3106,makemytrip,com,0,multipart/mixed,0,9,1,0,59,51962,0,Tue,Jul,22.083333333333332
3107,twitter,com,0,multipart/alternative,7,82,0,0,117,55850,1,Tue,Oct,15.7
3108,iiitd,ac.in,5,multipart/alternative,0,1,0,0,15,5718,2,Wed,Dec,18.183333333333334
3109,coursera,org,0,multipart/alternative,4,34,1,0,25,23503,0,Tue,Jun,16.483333333333334
3110,splitwise,com,0,multipart/alternative,5,18,1,0,21,19609,0,Wed,Aug,5.966666666666667
3111,amazon,in,0,multipart/alternative,5,41,0,0,98,19326,0,Tue,Sep,15.4
3112,usebackpack,com,0,multipart/alternative,4,19,0,0,37,27692,0,Fri,Dec,14.833333333333334
3113,hackerearth,com,0,multipart/alternative,4,18,1,0,40,32340,0,Thu,Oct,8.0
3114,google,com,0,multipart/alternative,4,18,0,0,48,6213,0,Sun,Apr,13.833333333333334
3115,linkedin,com,0,multipart/alternative,5,41,0,0,29,29764,1,Wed,Aug,17.666666666666668
3116,marketing,goindigo.in,0,multipart/alternative,9,50,1,0,33,35210,3,Tue,Aug,20.083333333333332
3117,iiitd,ac.in,0,multipart/alternative,0,16,0,0,94,11589,2,Tue,Apr,15.316666666666666
3118,udacity,com,0,text/html,11,38,0,1,65,45959,3,Mon,Sep,14.716666666666667
3119,hackerearth,com,0,multipart/alternative,9,33,1,0,52,24481,0,Wed,Jun,8.833333333333334
3120,messages,xoom.com,0,multipart/alternative,9,37,0,0,24,136649,0,Thu,Apr,19.166666666666668
3121,imdb,com,0,multipart/alternative,21,116,0,0,40,80324,3,Sat,Apr,4.05
3122,bigbasket,in,0,text/html,4,12,0,0,22,6780,3,Wed,Feb,18.883333333333333
3123,linkedin,com,0,multipart/alternative,4,33,0,0,53,29774,1,Tue,May,3.2666666666666666
3124,medium,com,0,multipart/alternative,27,163,1,1,161,72365,0,Wed,May,6.333333333333333
3125,nvidia,com,0,multipart/alternative,17,77,0,1,78,71350,0,Fri,Jun,11.283333333333333
3126,airtable,com,0,multipart/alternative,11,51,0,1,103,43214,3,Mon,Apr,4.316666666666666
3127,researchgatemail,net,0,multipart/alternative,3,21,0,1,41,19853,1,Sat,Dec,6.933333333333334
3128,nrsc,gov.in,0,multipart/alternative,0,4,1,0,32,1210,0,Fri,Apr,15.3
3129,iiitd,ac.in,0,multipart/related,0,0,0,0,26,65568,2,Mon,Sep,12.116666666666667
3130,mentor,com,0,multipart/alternative,4,14,0,0,35,7067,3,Fri,Feb,5.0
3131,iiitd,ac.in,3,multipart/alternative,18,108,1,0,45,60208,2,Fri,Feb,23.283333333333335
3132,updates,freelancer.com,0,text/html,6,26,1,0,27,13684,0,Thu,Sep,14.0
3133,google,com,0,text/html,4,20,1,0,36,6737,0,Thu,Jul,1.75
3134,send,grammarly.com,0,multipart/alternative,32,113,0,0,55,103647,3,Mon,Feb,12.0
3135,mapbox,com,0,multipart/alternative,7,45,0,0,30,56231,3,Thu,Jun,16.35
3136,amazon,in,0,multipart/alternative,19,122,1,0,59,53248,3,Fri,Oct,13.333333333333334
3137,iiitd,ac.in,0,multipart/alternative,0,7,1,1,0,1639,2,Fri,Dec,14.316666666666666
3138,usebackpack,com,0,multipart/alternative,4,19,0,0,37,27080,0,Tue,Oct,13.3
3139,google,com,0,multipart/alternative,2,12,0,0,33,3245,0,Wed,Jun,8.733333333333333
3140,sharelatex,com,0,multipart/alternative,0,11,0,0,39,23719,0,Sat,Jan,13.383333333333333
3141,joytunes,com,0,multipart/alternative,0,8,0,0,40,20299,0,Tue,Oct,3.5833333333333335
3142,paytmemail,com,0,multipart/mixed,0,0,0,0,68,4,3,Thu,Aug,10.15
3143,mailer,netflix.com,0,multipart/alternative,5,26,0,0,14,20738,0,Sun,Mar,21.2
3144,medium,com,0,multipart/alternative,13,119,1,1,193,55672,0,Thu,Apr,7.0
3145,google,com,0,multipart/alternative,29,96,0,1,186,102164,0,Wed,Jul,22.9
3146,iiitd,ac.in,6,multipart/alternative,0,13,1,0,49,22857,2,Thu,Aug,18.3
3147,iiitd,ac.in,3,multipart/alternative,0,0,1,0,31,1466,2,Fri,Mar,10.483333333333333
3148,booking,com,0,multipart/alternative,0,0,0,0,116,1527,0,Tue,Oct,6.116666666666666
3149,codecademy,com,0,multipart/alternative,6,32,0,0,66,32985,3,Wed,Jun,20.383333333333333
3150,na,na,0,text/plain,0,0,0,0,57,536,0,,Jun,22.45
3151,amazon,in,0,multipart/mixed,0,0,0,0,25,4,0,Wed,Sep,2.533333333333333
3152,iiitd,ac.in,3,multipart/alternative,0,3,1,0,29,22889,2,Fri,Apr,21.416666666666668
3153,amazon,in,0,multipart/alternative,1,46,1,0,54,17252,0,Thu,Jan,19.45
3154,mailer,netflix.com,0,multipart/alternative,13,61,0,0,50,42301,3,Fri,Jun,16.45
3155,quora,com,0,multipart/alternative,2,91,1,0,60,79230,1,Sat,Jun,12.766666666666667
3156,email,nvidia.com,0,text/html,9,33,0,0,45,36365,3,Tue,Apr,16.283333333333335
3157,hackerrank,com,0,multipart/alternative,3,11,0,0,47,8788,0,Sat,Aug,21.283333333333335
3158,iiitd,ac.in,4,multipart/alternative,0,2,1,0,49,6380,2,Wed,Sep,10.316666666666666
3159,zoomgroup,com,0,multipart/alternative,2,15,1,0,60,43758,0,Sat,May,8.216666666666667
3160,airpostmail,in,0,multipart/alternative,0,5,1,0,66,3505,0,Thu,May,15.516666666666667
3161,m,mail.coursera.org,0,multipart/alternative,19,123,0,0,32,86908,0,Thu,Sep,7.85
3162,account-nvidia,com,0,multipart/alternative,7,25,0,0,22,16140,0,Mon,Jun,0.23333333333333334
3163,usebackpack,com,0,text/html,4,14,0,0,38,24728,0,Fri,Sep,8.116666666666667
3164,kaggle,intercom-mail.com,0,multipart/alternative,4,13,0,1,54,16721,3,Mon,Oct,16.7
3165,usebackpack,com,0,multipart/alternative,4,19,1,0,37,27224,0,Mon,Oct,7.266666666666667
3166,youtube,com,0,multipart/alternative,9,44,1,0,79,39211,1,Mon,Apr,2.783333333333333
3167,linkedin,com,0,multipart/alternative,17,71,0,1,112,78044,1,Fri,Aug,11.9
3168,linkedin,com,0,multipart/alternative,16,85,0,1,43,75171,1,Mon,Jan,8.1
3169,google,com,0,text/html,2,12,0,0,36,4481,0,Tue,Apr,1.35
3170,kotak,in,0,text/html,0,19,1,0,97,8255,0,Wed,May,13.966666666666667
3171,plus,google.com,0,multipart/alternative,14,41,0,0,35,14712,1,Mon,Jul,7.95
3172,imdb,com,0,multipart/alternative,21,104,0,0,40,71235,3,Sat,Aug,2.2333333333333334
3173,doodle,com,0,multipart/alternative,16,32,0,0,24,24312,0,Thu,Oct,13.966666666666667
3174,amazon,in,0,multipart/alternative,5,36,1,0,80,20301,3,Sat,Jul,2.533333333333333
3175,topresume,com,0,multipart/alternative,1,10,1,0,21,5042,0,Sat,Jul,12.85
3176,amazon,in,0,multipart/alternative,5,26,0,0,60,18289,0,Fri,Mar,10.683333333333334
3177,na,na,0,multipart/mixed,0,1,1,0,56,1820,0,Fri,Oct,7.516666666666667
3178,nrsc,gov.in,0,multipart/alternative,0,4,1,0,32,1210,0,Fri,Apr,3.7666666666666666
3179,iiitd,ac.in,4,multipart/alternative,1,7,1,0,22,3456,2,Sat,Nov,20.85
3180,iiitd,ac.in,0,multipart/related,0,0,0,0,53,169334,2,Fri,Sep,11.783333333333333
3181,google,com,0,multipart/alternative,5,22,0,0,48,12045,0,Tue,Feb,10.45
3182,researchgate,net,0,multipart/alternative,12,81,0,1,30,43335,1,Tue,Apr,7.75
3183,quora,com,0,multipart/alternative,4,14,0,0,203,13273,1,Sat,Aug,6.35
3184,paytm,com,0,multipart/mixed,0,0,0,0,77,124209,0,Wed,Jul,11.083333333333334
3185,sampark,gov.in,0,text/html,27,57,0,0,40,34682,3,Fri,Oct,21.7
3186,twitter,com,0,multipart/alternative,11,33,0,0,56,16424,1,Fri,Sep,14.066666666666666
3187,iiitd,ac.in,0,text/plain,0,0,1,0,14,1033,2,Wed,Apr,10.333333333333334
3188,nrsc,gov.in,0,multipart/alternative,0,4,1,0,32,1210,0,Fri,Apr,15.3
3189,hackerearth,com,0,multipart/alternative,4,16,1,0,51,10864,0,Fri,Jan,1.35
3190,doodle,com,0,multipart/alternative,3,12,0,0,52,9860,0,Tue,Aug,14.45
3191,plus,google.com,0,multipart/alternative,5,24,0,0,39,8390,1,Sat,Jun,6.65
3192,apiai-a32c4dd4b716,intercom-mail.com,0,multipart/alternative,4,21,0,0,21,33948,0,Wed,Mar,17.066666666666666
3193,usebackpack,com,0,multipart/alternative,4,19,0,0,37,26916,0,Sun,Nov,6.516666666666667
